(61, 2): R=158, G=192, B=217
(62, 2): R=157, G=191, B=216
(63, 2): R=157, G=190, B=215
(64, 2): R=156, G=190, B=215
(65, 2): R=155, G=189, B=214
(66, 2): R=154, G=189, B=213
(67, 2): R=152, G=188, B=213
(68, 2): R=151, G=188, B=213
(69, 2): R=151, G=187, B=213
(70, 2): R=150, G=186, B=212
(71, 2): R=149, G=185, B=211
(72, 2): R=147, G=184, B=210
(73, 2): R=147, G=184, B=210
(74, 2): R=146, G=183, B=209
(75, 2): R=145, G=182, B=208
(76, 2): R=144, G=181, B=208
(77, 2): R=143, G=181, B=207
(78, 2): R=142, G=180, B=207
(79, 2): R=141, G=180, B=206
(80, 2): R=140, G=179, B=206
(81, 2): R=139, G=179, B=205
(82, 2): R=138, G=178, B=204
(83, 2): R=137, G=177, B=203
(84, 2): R=137, G=177, B=203
(85, 2): R=136, G=176, B=204
(86, 2): R=136, G=175, B=204
(87, 2): R=135, G=175, B=203
(88, 2): R=134, G=175, B=203
(89, 2): R=134, G=174, B=202
(90, 2): R=133, G=174, B=202
(91, 2): R=132, G=173, B=201
(92, 2): R=132, G=173, B=201
(93, 2): R=132, G=173, B=201
(94, 2): R=131, G=172, B=200
(95, 2): R=131, G=172, B=200
(96, 2): R=131, G=172, B=200
(97, 2): R=130, G=171, B=200
(98, 2): R=130, G=171, B=200
(99, 2): R=129, G=171, B=201
(0, 3): R=134, G=172, B=201
(1, 3): R=124, G=153, B=174
(2, 3): R=126, G=152, B=172
(3, 3): R=135, G=174, B=202
(4, 3): R=136, G=176, B=203
(5, 3): R=129, G=164, B=188
(6, 3): R=130, G=165, B=191
(7, 3): R=137, G=178, B=204
(8, 3): R=138, G=178, B=204
(9, 3): R=140, G=178, B=205
(10, 3): R=141, G=178, B=205
(11, 3): R=142, G=179, B=206
(12, 3): R=142, G=180, B=206
(13, 3): R=143, G=180, B=207
(14, 3): R=144, G=181, B=207
(15, 3): R=144, G=182, B=208
(16, 3): R=145, G=182, B=208
(17, 3): R=146, G=183, B=209
(18, 3): R=148, G=184, B=210
(19, 3): R=148, G=184, B=210
(20, 3): R=149, G=185, B=211
(21, 3): R=150, G=186, B=212
(22, 3): R=151, G=187, B=212
(23, 3): R=152, G=187, B=212
(24, 3): R=153, G=188, B=213
(25, 3): R=154, G=188, B=213
(26, 3): R=155, G=189, B=214
(27, 3): R=156, G=190, B=215
(28, 3): R=157, G=191, B=216
(29, 3): R=158, G=192, B=216
(30, 3): R=159, G=193, B=217
(31, 3): R=160, G=193, B=217
(32, 3): R=161, G=194, B=217
(33, 3): R=163, G=195, B=218
(34, 3): R=164, G=195, B=218
(35, 3): R=164, G=196, B=219
(36, 3): R=165, G=197, B=220
(37, 3): R=165, G=197, B=220
(38, 3): R=166, G=198, B=220
(39, 3): R=166, G=198, B=221
(40, 3): R=167, G=199, B=221
(41, 3): R=167, G=199, B=220
(42, 3): R=168, G=199, B=221
(43, 3): R=168, G=199, B=221
(44, 3): R=168, G=200, B=221
(45, 3): R=168, G=200, B=221
(46, 3): R=169, G=200, B=221
(47, 3): R=169, G=200, B=221
(48, 3): R=169, G=200, B=221
(49, 3): R=168, G=199, B=221
(50, 3): R=168, G=199, B=220
(51, 3): R=168, G=199, B=221
(52, 3): R=167, G=199, B=221
(53, 3): R=166, G=198, B=221
(54, 3): R=166, G=198, B=220
(55, 3): R=165, G=197, B=220
(56, 3): R=165, G=197, B=220
(57, 3): R=164, G=196, B=219
(58, 3): R=164, G=196, B=219
(59, 3): R=163, G=195, B=218
(60, 3): R=161, G=195, B=217
(61, 3): R=160, G=194, B=217
(62, 3): R=159, G=193, B=217
(63, 3): R=158, G=192, B=217
(64, 3): R=157, G=191, B=216
(65, 3): R=156, G=190, B=215
(66, 3): R=155, G=189, B=214
(67, 3): R=154, G=189, B=213
(68, 3): R=153, G=188, B=213
(69, 3): R=152, G=188, B=212
(70, 3): R=151, G=187, B=212
(71, 3): R=150, G=186, B=212
(72, 3): R=149, G=185, B=211
(73, 3): R=148, G=185, B=211
(74, 3): R=147, G=184, B=210
(75, 3): R=146, G=183, B=209
(76, 3): R=145, G=182, B=208
(77, 3): R=144, G=181, B=208
(78, 3): R=144, G=181, B=208
(79, 3): R=143, G=180, B=207
(80, 3): R=142, G=180, B=206
(81, 3): R=141, G=179, B=206
(82, 3): R=139, G=179, B=205
(83, 3): R=138, G=178, B=204
(84, 3): R=138, G=178, B=204
(85, 3): R=137, G=177, B=203
(86, 3): R=136, G=176, B=204
(87, 3): R=136, G=175, B=204
(88, 3): R=135, G=174, B=203
(89, 3): R=135, G=175, B=203
(90, 3): R=134, G=174, B=203
(91, 3): R=133, G=174, B=202
(92, 3): R=133, G=174, B=202
(93, 3): R=132, G=173, B=201
(94, 3): R=132, G=173, B=201
(95, 3): R=131, G=172, B=200
(96, 3): R=131, G=172, B=200
(97, 3): R=131, G=172, B=200
(98, 3): R=130, G=171, B=200
(99, 3): R=130, G=171, B=200
(0, 4): R=135, G=174, B=203
(1, 4): R=135, G=174, B=202
(2, 4): R=135, G=175, B=202
(3, 4): R=136, G=176, B=202
(4, 4): R=136, G=177, B=203
(5, 4): R=135, G=175, B=202
(6, 4): R=137, G=176, B=202
(7, 4): R=139, G=178, B=204
(8, 4): R=141, G=178, B=205
(9, 4): R=142, G=179, B=206
(10, 4): R=142, G=179, B=206
(11, 4): R=143, G=180, B=207
(12, 4): R=143, G=180, B=207
(13, 4): R=144, G=181, B=207
(14, 4): R=145, G=182, B=208
(15, 4): R=146, G=182, B=208
(16, 4): R=147, G=183, B=209
(17, 4): R=148, G=184, B=210
(18, 4): R=149, G=185, B=211
(19, 4): R=149, G=185, B=211
(20, 4): R=150, G=186, B=212
(21, 4): R=151, G=187, B=212
(22, 4): R=153, G=188, B=213
(23, 4): R=154, G=188, B=213
(24, 4): R=155, G=189, B=214
(25, 4): R=156, G=190, B=215
